,0
10,"POLYGON ((-93.28155870015239 44.97246912393813, -93.2815587001524 44.97246912393813, -93.2815587001524 44.97246912393814, -93.2815587001524 44.97696572575677, -93.2815587001524 44.97696572575678, -93.28155870015239 44.97696572575678, -93.27838537298859 44.97696572575678, -93.27838537298858 44.97696572575678, -93.27838537298858 44.97696572575677, -93.27838537298858 44.97246912393814, -93.27838537298858 44.97246912393813, -93.27838537298859 44.97246912393813, -93.28155870015239 44.97246912393813))"
11,"POLYGON ((-93.27838537298861 44.98371062848469, -93.27838537298862 44.98371062848469, -93.27838537298862 44.9837106284847, -93.27838537298862 44.98820723030332, -93.27838537298862 44.98820723030333, -93.27838537298861 44.98820723030333, -93.27521204582482 44.98820723030333, -93.2752120458248 44.98820723030333, -93.27203871866101 44.98820723030333, -93.27203871866099 44.98820723030333, -93.27203871866099 44.98820723030332, -93.27203871866099 44.98595892939401, -93.27203871866099 44.985958929394, -93.27203871866101 44.985958929394, -93.2752120458248 44.985958929394, -93.2752120458248 44.9837106284847, -93.2752120458248 44.98371062848469, -93.27521204582482 44.98371062848469, -93.27838537298861 44.98371062848469))"
12,"POLYGON ((-93.25617208284204 44.97246912393813, -93.25617208284206 44.97246912393813, -93.25617208284206 44.97246912393814, -93.25617208284206 44.97921402666608, -93.25617208284206 44.97921402666609, -93.25617208284204 44.97921402666609, -93.24982542851447 44.97921402666609, -93.24982542851446 44.97921402666609, -93.24982542851446 44.97921402666608, -93.24982542851446 44.97471742484746, -93.24982542851446 44.97471742484745, -93.24982542851447 44.97471742484745, -93.25299875567823 44.97471742484745, -93.25299875567823 44.97246912393814, -93.25299875567823 44.97246912393813, -93.25299875567825 44.97246912393813, -93.25617208284204 44.97246912393813))"
13,"POLYGON ((-93.2752120458248 44.98371062848469, -93.27521204582482 44.98371062848469, -93.27521204582482 44.9837106284847, -93.27521204582482 44.98595892939402, -93.27521204582482 44.98595892939402, -93.2752120458248 44.98595892939402, -93.26886539149723 44.98595892939402, -93.26886539149722 44.98595892939402, -93.26886539149722 44.98595892939402, -93.26886539149722 44.9837106284847, -93.26886539149722 44.98371062848469, -93.26886539149723 44.98371062848469, -93.2752120458248 44.98371062848469))"
14,"POLYGON ((-93.2339587926955 44.97246912393813, -93.23395879269552 44.97246912393813, -93.23395879269552 44.97246912393814, -93.23395879269552 44.97471742484746, -93.23395879269552 44.97471742484746, -93.2339587926955 44.97471742484746, -93.23078546553171 44.97471742484746, -93.23078546553171 44.97696572575677, -93.23078546553171 44.97696572575678, -93.2307854655317 44.97696572575678, -93.2276121383679 44.97696572575678, -93.22761213836789 44.97696572575678, -93.22761213836789 44.97696572575677, -93.22761213836789 44.96797252211952, -93.22761213836789 44.96797252211951, -93.2276121383679 44.96797252211951, -93.2307854655317 44.96797252211951, -93.23078546553171 44.96797252211951, -93.23078546553171 44.96797252211952, -93.23078546553171 44.97246912393813, -93.2339587926955 44.97246912393813))"
15,"POLYGON ((-93.26251873716963 44.97696572575676, -93.26251873716964 44.97696572575676, -93.26251873716964 44.97696572575676, -93.26251873716964 44.97921402666608, -93.26251873716964 44.97921402666609, -93.26251873716963 44.97921402666609, -93.25934541000586 44.97921402666609, -93.25934541000586 44.9837106284847, -93.25934541000586 44.98371062848471, -93.25934541000585 44.98371062848471, -93.25617208284206 44.98371062848471, -93.25617208284204 44.98371062848471, -93.25617208284204 44.9837106284847, -93.25617208284204 44.97696572575676, -93.25617208284204 44.97696572575676, -93.25617208284206 44.97696572575676, -93.26251873716963 44.97696572575676))"
16,"POLYGON ((-93.2752120458248 44.97921402666607, -93.27521204582482 44.97921402666607, -93.27521204582482 44.97921402666608, -93.27521204582482 44.9837106284847, -93.27521204582482 44.98371062848471, -93.2752120458248 44.98371062848471, -93.27203871866101 44.98371062848471, -93.27203871866099 44.98371062848471, -93.27203871866099 44.9837106284847, -93.27203871866099 44.97921402666608, -93.27203871866099 44.97921402666607, -93.27203871866101 44.97921402666607, -93.2752120458248 44.97921402666607))"
17,"POLYGON ((-93.24982542851446 44.95448271666364, -93.24982542851447 44.95448271666364, -93.24982542851447 44.95448271666365, -93.24982542851447 44.95897931848228, -93.24982542851447 44.95897931848229, -93.24982542851446 44.95897931848229, -93.24347877418688 44.95897931848229, -93.24347877418687 44.95897931848229, -93.24347877418687 44.95897931848228, -93.24347877418687 44.95673101757296, -93.24347877418687 44.95673101757296, -93.24347877418688 44.95673101757296, -93.24665210135065 44.95673101757296, -93.24665210135065 44.95448271666365, -93.24665210135065 44.95448271666364, -93.24665210135066 44.95448271666364, -93.24982542851446 44.95448271666364))"
18,"POLYGON ((-93.27203871866102 44.97471742484745, -93.27203871866104 44.97471742484745, -93.27203871866104 44.97471742484746, -93.27203871866104 44.97696572575677, -93.27203871866104 44.97696572575678, -93.27203871866102 44.97696572575678, -93.26886539149723 44.97696572575678, -93.26886539149722 44.97696572575678, -93.26886539149722 44.97696572575677, -93.26886539149722 44.97471742484746, -93.26886539149722 44.97471742484745, -93.26886539149723 44.97471742484745, -93.27203871866102 44.97471742484745))"
19,"POLYGON ((-93.23713211985928 44.97696572575676, -93.2371321198593 44.97696572575676, -93.2371321198593 44.97696572575676, -93.2371321198593 44.97921402666608, -93.2371321198593 44.97921402666609, -93.23713211985928 44.97921402666609, -93.23395879269552 44.97921402666609, -93.23395879269552 44.98146232757539, -93.23395879269552 44.9814623275754, -93.2339587926955 44.9814623275754, -93.23078546553171 44.9814623275754, -93.2307854655317 44.9814623275754, -93.2307854655317 44.98146232757539, -93.2307854655317 44.97696572575676, -93.2307854655317 44.97696572575676, -93.23078546553171 44.97696572575676, -93.23713211985928 44.97696572575676))"
