,0
33,"POLYGON ((-93.31329197176611 44.9904555312128, -93.31011864459747 44.9904555312128, -93.31011864459747 44.99270383212211, -93.31329197176611 44.99270383212211, -93.31329197176611 44.9904555312128))"
34,"POLYGON ((-93.31329197176611 44.99270383212211, -93.31011864459747 44.99270383212211, -93.31011864459747 44.99495213303143, -93.31329197176611 44.99495213303143, -93.31329197176611 44.99270383212211))"
35,"POLYGON ((-93.31329197176611 44.99495213303143, -93.31011864459747 44.99495213303143, -93.31011864459747 44.99720043394074, -93.31329197176611 44.99720043394074, -93.31329197176611 44.99495213303143))"
36,"POLYGON ((-93.31329197176611 44.99720043394074, -93.31011864459747 44.99720043394074, -93.31011864459747 44.99944873485006, -93.31329197176611 44.99944873485006, -93.31329197176611 44.99720043394074))"
37,"POLYGON ((-93.31329197176611 45.00169703575937, -93.31011864459747 45.00169703575937, -93.31011864459747 45.00394533666869, -93.31329197176611 45.00394533666869, -93.31329197176611 45.00169703575937))"
38,"POLYGON ((-93.31329197176611 45.00394533666869, -93.31011864459747 45.00394533666869, -93.31011864459747 45.006193637578, -93.31329197176611 45.006193637578, -93.31329197176611 45.00394533666869))"
39,"POLYGON ((-93.31329197176611 45.01069023939663, -93.31011864459747 45.01069023939663, -93.31011864459747 45.01293854030595, -93.31329197176611 45.01293854030595, -93.31329197176611 45.01069023939663))"
40,"POLYGON ((-93.31329197176611 45.01293854030595, -93.31011864459747 45.01293854030595, -93.31011864459747 45.01518684121526, -93.31329197176611 45.01518684121526, -93.31329197176611 45.01293854030595))"
41,"POLYGON ((-93.31011864459747 44.91176499938677, -93.30694531742883 44.91176499938677, -93.30694531742883 44.91401330029608, -93.31011864459747 44.91401330029608, -93.31011864459747 44.91176499938677))"
42,"POLYGON ((-93.31011864459747 44.92525480484266, -93.30694531742883 44.92525480484266, -93.30694531742883 44.92750310575197, -93.31011864459747 44.92750310575197, -93.31011864459747 44.92525480484266))"
43,"POLYGON ((-93.31011864459747 44.95897931848238, -93.30694531742883 44.95897931848238, -93.30694531742883 44.9612276193917, -93.31011864459747 44.9612276193917, -93.31011864459747 44.95897931848238))"
44,"POLYGON ((-93.31011864459747 44.9612276193917, -93.30694531742883 44.9612276193917, -93.30694531742883 44.96347592030101, -93.31011864459747 44.96347592030101, -93.31011864459747 44.9612276193917))"
45,"POLYGON ((-93.31011864459747 44.97246912393828, -93.30694531742883 44.97246912393828, -93.30694531742883 44.97471742484759, -93.31011864459747 44.97471742484759, -93.31011864459747 44.97246912393828))"
46,"POLYGON ((-93.31011864459747 44.97921402666622, -93.30694531742883 44.97921402666622, -93.30694531742883 44.98146232757554, -93.31011864459747 44.98146232757554, -93.31011864459747 44.97921402666622))"
47,"POLYGON ((-93.31011864459747 44.98146232757554, -93.30694531742883 44.98146232757554, -93.30694531742883 44.98371062848485, -93.31011864459747 44.98371062848485, -93.31011864459747 44.98146232757554))"
48,"POLYGON ((-93.31011864459747 44.98371062848485, -93.30694531742883 44.98371062848485, -93.30694531742883 44.98595892939417, -93.31011864459747 44.98595892939417, -93.31011864459747 44.98371062848485))"
49,"POLYGON ((-93.31011864459747 44.98595892939417, -93.30694531742883 44.98595892939417, -93.30694531742883 44.98820723030348, -93.31011864459747 44.98820723030348, -93.31011864459747 44.98595892939417))"
50,"POLYGON ((-93.31011864459747 44.98820723030348, -93.30694531742883 44.98820723030348, -93.30694531742883 44.9904555312128, -93.31011864459747 44.9904555312128, -93.31011864459747 44.98820723030348))"
51,"POLYGON ((-93.31011864459747 44.9904555312128, -93.30694531742883 44.9904555312128, -93.30694531742883 44.99270383212211, -93.31011864459747 44.99270383212211, -93.31011864459747 44.9904555312128))"
52,"POLYGON ((-93.31011864459747 44.99270383212211, -93.30694531742883 44.99270383212211, -93.30694531742883 44.99495213303143, -93.31011864459747 44.99495213303143, -93.31011864459747 44.99270383212211))"
53,"POLYGON ((-93.31011864459747 44.99495213303143, -93.30694531742883 44.99495213303143, -93.30694531742883 44.99720043394074, -93.31011864459747 44.99720043394074, -93.31011864459747 44.99495213303143))"
54,"POLYGON ((-93.31011864459747 44.99720043394074, -93.30694531742883 44.99720043394074, -93.30694531742883 44.99944873485006, -93.31011864459747 44.99944873485006, -93.31011864459747 44.99720043394074))"
55,"POLYGON ((-93.31011864459747 44.99944873485006, -93.30694531742883 44.99944873485006, -93.30694531742883 45.00169703575937, -93.31011864459747 45.00169703575937, -93.31011864459747 44.99944873485006))"
56,"POLYGON ((-93.31011864459747 45.00169703575937, -93.30694531742883 45.00169703575937, -93.30694531742883 45.00394533666869, -93.31011864459747 45.00394533666869, -93.31011864459747 45.00169703575937))"
57,"POLYGON ((-93.31011864459747 45.00394533666869, -93.30694531742883 45.00394533666869, -93.30694531742883 45.006193637578, -93.31011864459747 45.006193637578, -93.31011864459747 45.00394533666869))"
58,"POLYGON ((-93.31011864459747 45.00844193848732, -93.30694531742883 45.00844193848732, -93.30694531742883 45.01069023939663, -93.31011864459747 45.01069023939663, -93.31011864459747 45.00844193848732))"
59,"POLYGON ((-93.31011864459747 45.01069023939663, -93.30694531742883 45.01069023939663, -93.30694531742883 45.01293854030595, -93.31011864459747 45.01293854030595, -93.31011864459747 45.01069023939663))"
60,"POLYGON ((-93.31011864459747 45.01293854030595, -93.30694531742883 45.01293854030595, -93.30694531742883 45.01518684121526, -93.31011864459747 45.01518684121526, -93.31011864459747 45.01293854030595))"
61,"POLYGON ((-93.31011864459747 45.01518684121526, -93.30694531742883 45.01518684121526, -93.30694531742883 45.01743514212458, -93.31011864459747 45.01743514212458, -93.31011864459747 45.01518684121526))"
62,"POLYGON ((-93.31011864459747 45.01743514212458, -93.30694531742883 45.01743514212458, -93.30694531742883 45.01968344303389, -93.31011864459747 45.01968344303389, -93.31011864459747 45.01743514212458))"
63,"POLYGON ((-93.31011864459747 45.01968344303389, -93.30694531742883 45.01968344303389, -93.30694531742883 45.02193174394321, -93.31011864459747 45.02193174394321, -93.31011864459747 45.01968344303389))"
