,0
32,"POLYGON ((-93.31011864462654 44.97246912393814, -93.30377199029896 44.97246912393814, -93.30377199029896 44.97696572575676, -93.31011864462654 44.97696572575676, -93.31011864462654 44.97246912393814))"
33,"POLYGON ((-93.31011864462654 44.97696572575676, -93.30377199029896 44.97696572575676, -93.30377199029896 44.98146232757539, -93.31011864462654 44.98146232757539, -93.31011864462654 44.97696572575676))"
34,"POLYGON ((-93.31011864462654 44.98146232757539, -93.30377199029896 44.98146232757539, -93.30377199029896 44.98595892939401, -93.31011864462654 44.98595892939401, -93.31011864462654 44.98146232757539))"
35,"POLYGON ((-93.31011864462654 44.98595892939401, -93.30377199029896 44.98595892939401, -93.30377199029896 44.99045553121263, -93.31011864462654 44.99045553121263, -93.31011864462654 44.98595892939401))"
36,"POLYGON ((-93.31011864462654 44.99045553121263, -93.30377199029896 44.99045553121263, -93.30377199029896 44.99495213303125, -93.31011864462654 44.99495213303125, -93.31011864462654 44.99045553121263))"
37,"POLYGON ((-93.31011864462654 44.99495213303125, -93.30377199029896 44.99495213303125, -93.30377199029896 44.99944873484988, -93.31011864462654 44.99944873484988, -93.31011864462654 44.99495213303125))"
38,"POLYGON ((-93.31011864462654 44.99944873484988, -93.30377199029896 44.99944873484988, -93.30377199029896 45.0039453366685, -93.31011864462654 45.0039453366685, -93.31011864462654 44.99944873484988))"
39,"POLYGON ((-93.31011864462654 45.0039453366685, -93.30377199029896 45.0039453366685, -93.30377199029896 45.00844193848712, -93.31011864462654 45.00844193848712, -93.31011864462654 45.0039453366685))"
40,"POLYGON ((-93.31011864462654 45.00844193848712, -93.30377199029896 45.00844193848712, -93.30377199029896 45.01293854030575, -93.31011864462654 45.01293854030575, -93.31011864462654 45.00844193848712))"
41,"POLYGON ((-93.31011864462654 45.01293854030575, -93.30377199029896 45.01293854030575, -93.30377199029896 45.01743514212437, -93.31011864462654 45.01743514212437, -93.31011864462654 45.01293854030575))"
42,"POLYGON ((-93.31011864462654 45.01743514212437, -93.30377199029896 45.01743514212437, -93.30377199029896 45.02193174394299, -93.31011864462654 45.02193174394299, -93.31011864462654 45.01743514212437))"
43,"POLYGON ((-93.31011864462654 45.02193174394299, -93.30377199029896 45.02193174394299, -93.30377199029896 45.02642834576162, -93.31011864462654 45.02642834576162, -93.31011864462654 45.02193174394299))"
44,"POLYGON ((-93.31011864462654 45.03092494758024, -93.30377199029896 45.03092494758024, -93.30377199029896 45.03542154939886, -93.31011864462654 45.03542154939886, -93.31011864462654 45.03092494758024))"
45,"POLYGON ((-93.30377199029896 44.93649630938916, -93.29742533597137 44.93649630938916, -93.29742533597137 44.94099291120778, -93.30377199029896 44.94099291120778, -93.30377199029896 44.93649630938916))"
46,"POLYGON ((-93.30377199029896 44.94099291120778, -93.29742533597137 44.94099291120778, -93.29742533597137 44.9454895130264, -93.30377199029896 44.9454895130264, -93.30377199029896 44.94099291120778))"
47,"POLYGON ((-93.30377199029896 44.9454895130264, -93.29742533597137 44.9454895130264, -93.29742533597137 44.94998611484503, -93.30377199029896 44.94998611484503, -93.30377199029896 44.9454895130264))"
