start_grid,start_basegrid_idx,0,1
26,1,POINT (-93.31487863537224 45.01631099166972),0.0
26,2,POINT (-93.31170530820842 45.01406269076041),0.0967741935483871
26,3,POINT (-93.31170530820842 45.01631099166972),0.0
27,0,POINT (-93.30853198104464 44.91064084893208),0.0
27,1,POINT (-93.30853198104464 44.91288914984139),0.03225806451612903
27,2,POINT (-93.30535865388083 44.91064084893208),0.0
27,3,POINT (-93.30535865388083 44.91288914984139),0.0
28,0,POINT (-93.30853198104464 44.92413065438795),0.0
28,1,POINT (-93.30853198104464 44.92637895529726),0.6129032258064516
28,2,POINT (-93.30535865388083 44.92413065438795),0.0
28,3,POINT (-93.30535865388083 44.92637895529726),0.0
29,0,POINT (-93.30853198104464 44.94211706166244),0.0
29,1,POINT (-93.30853198104464 44.94436536257175),0.0
29,2,POINT (-93.30535865388083 44.94211706166244),0.0
29,3,POINT (-93.30535865388083 44.94436536257175),0.12903225806451613
30,0,POINT (-93.30853198104464 44.94661366348106),0.0
30,1,POINT (-93.30853198104464 44.94886196439037),0.0
30,2,POINT (-93.30535865388083 44.94661366348106),2.129032258064516
30,3,POINT (-93.30535865388083 44.94886196439037),0.9032258064516129
31,0,POINT (-93.30853198104464 44.96010346893694),0.12903225806451613
31,1,POINT (-93.30853198104464 44.96235176984624),0.0967741935483871
31,2,POINT (-93.30535865388083 44.96010346893694),0.0
31,3,POINT (-93.30535865388083 44.96235176984624),0.0
32,0,POINT (-93.30853198104464 44.9735932743928),0.25806451612903225
32,1,POINT (-93.30853198104464 44.97584157530211),0.0
32,2,POINT (-93.30535865388083 44.9735932743928),0.0
32,3,POINT (-93.30535865388083 44.97584157530211),0.0
33,0,POINT (-93.30853198104464 44.97808987621143),0.0
33,1,POINT (-93.30853198104464 44.98033817712074),0.29032258064516125
33,2,POINT (-93.30535865388083 44.97808987621143),0.03225806451612903
33,3,POINT (-93.30535865388083 44.98033817712074),0.45161290322580644
34,0,POINT (-93.30853198104464 44.98258647803005),0.12903225806451613
34,1,POINT (-93.30853198104464 44.98483477893936),0.12903225806451613
34,2,POINT (-93.30535865388083 44.98258647803005),0.0
34,3,POINT (-93.30535865388083 44.98483477893936),0.0
35,0,POINT (-93.30853198104464 44.98708307984867),0.03225806451612903
35,1,POINT (-93.30853198104464 44.98933138075797),0.3225806451612903
35,2,POINT (-93.30535865388083 44.98708307984867),0.16129032258064516
35,3,POINT (-93.30535865388083 44.98933138075797),0.5483870967741935
36,0,POINT (-93.30853198104464 44.9915796816673),1.3225806451612903
36,1,POINT (-93.30853198104464 44.9938279825766),0.1935483870967742
36,2,POINT (-93.30535865388083 44.9915796816673),0.4516129032258065
36,3,POINT (-93.30535865388083 44.9938279825766),0.06451612903225806
37,0,POINT (-93.30853198104464 44.99607628348592),0.03225806451612903
37,1,POINT (-93.30853198104464 44.99832458439523),1.7741935483870968
37,2,POINT (-93.30535865388083 44.99607628348592),0.0
37,3,POINT (-93.30535865388083 44.99832458439523),0.4516129032258065
38,0,POINT (-93.30853198104464 45.00057288530454),0.12903225806451613
38,1,POINT (-93.30853198104464 45.00282118621385),2.0
38,2,POINT (-93.30535865388083 45.00057288530454),1.1935483870967742
38,3,POINT (-93.30535865388083 45.00282118621385),0.2903225806451613
39,0,POINT (-93.30853198104464 45.00506948712316),2.3548387096774195
39,1,POINT (-93.30853198104464 45.00731778803247),0.0
39,2,POINT (-93.30535865388083 45.00506948712316),0.4838709677419355
39,3,POINT (-93.30535865388083 45.00731778803247),0.25806451612903225
40,0,POINT (-93.30853198104464 45.00956608894178),0.4838709677419355
40,1,POINT (-93.30853198104464 45.0118143898511),0.4193548387096774
40,2,POINT (-93.30535865388083 45.00956608894178),0.16129032258064516
40,3,POINT (-93.30535865388083 45.0118143898511),0.06451612903225806
41,0,POINT (-93.30853198104464 45.01406269076041),1.3225806451612903
41,1,POINT (-93.30853198104464 45.01631099166972),0.1935483870967742
41,2,POINT (-93.30535865388083 45.01406269076041),0.03225806451612903
41,3,POINT (-93.30535865388083 45.01631099166972),0.29032258064516125
42,0,POINT (-93.30853198104464 45.01855929257903),0.0967741935483871
42,1,POINT (-93.30853198104464 45.02080759348834),0.3548387096774194
42,2,POINT (-93.30535865388083 45.01855929257903),0.8387096774193548
42,3,POINT (-93.30535865388083 45.02080759348834),0.0
43,0,POINT (-93.30853198104464 45.02305589439765),0.0
43,1,POINT (-93.30853198104464 45.02530419530696),0.0
43,2,POINT (-93.30535865388083 45.02305589439765),0.0967741935483871
43,3,POINT (-93.30535865388083 45.02530419530696),0.0
44,0,POINT (-93.30853198104464 45.0320490980349),0.0
44,1,POINT (-93.30853198104464 45.03429739894421),0.0
44,2,POINT (-93.30535865388083 45.0320490980349),0.0
44,3,POINT (-93.30535865388083 45.03429739894421),0.03225806451612903
45,0,POINT (-93.30218532671707 44.93762045984381),0.06451612903225806
45,1,POINT (-93.30218532671707 44.93986876075313),0.0
45,2,POINT (-93.29901199955326 44.93762045984381),0.2903225806451613
45,3,POINT (-93.29901199955326 44.93986876075313),0.3870967741935484
46,0,POINT (-93.30218532671707 44.94211706166244),1.7741935483870968
46,1,POINT (-93.30218532671707 44.94436536257175),0.0
46,2,POINT (-93.29901199955326 44.94211706166244),0.03225806451612903
46,3,POINT (-93.29901199955326 44.94436536257175),0.9032258064516129
47,0,POINT (-93.30218532671707 44.94661366348106),0.4838709677419355
47,1,POINT (-93.30297865850801 44.94829988916304),7.193548387096775
47,2,POINT (-93.29901199955326 44.94661366348106),4.064516129032258
47,3,POINT (-93.29901199955326 44.94886196439037),4.806451612903226
48,0,POINT (-93.30218532671707 44.95111026529968),0.0967741935483871
48,1,POINT (-93.30218532671707 44.95335856620899),0.0
48,2,POINT (-93.29901199955326 44.95111026529968),2.258064516129032
48,3,POINT (-93.29901199955326 44.95335856620899),1.064516129032258
49,0,POINT (-93.30218532671707 44.95560686711831),0.0
49,1,POINT (-93.30218532671707 44.95785516802761),0.0
49,2,POINT (-93.29901199955326 44.95560686711831),1.2580645161290323
49,3,POINT (-93.29901199955326 44.95785516802761),0.25806451612903225
50,0,POINT (-93.30218532671707 44.96460007075555),0.12903225806451613
50,1,POINT (-93.30218532671707 44.96684837166487),0.0
50,2,POINT (-93.29901199955326 44.96460007075555),0.03225806451612903
50,3,POINT (-93.29901199955326 44.96684837166487),0.16129032258064516
51,0,POINT (-93.30218532671707 44.96909667257417),0.03225806451612903
51,1,POINT (-93.30218532671707 44.97134497348349),0.0
51,2,POINT (-93.29901199955326 44.96909667257417),0.0
51,3,POINT (-93.29901199955326 44.97134497348349),0.0
52,0,POINT (-93.30218532671707 44.97808987621143),0.0
52,1,POINT (-93.30218532671707 44.98033817712074),0.3225806451612903
52,2,POINT (-93.29901199955326 44.97808987621143),0.870967741935484
52,3,POINT (-93.29901199955326 44.98033817712074),0.4838709677419355
53,0,POINT (-93.30218532671707 44.98258647803005),0.06451612903225806
53,1,POINT (-93.30218532671707 44.98483477893936),0.03225806451612903
53,2,POINT (-93.29901199955326 44.98258647803005),0.03225806451612903
53,3,POINT (-93.29901199955326 44.98483477893936),0.41935483870967744
54,0,POINT (-93.30218532671707 44.98708307984867),0.03225806451612903
54,1,POINT (-93.30218532671707 44.98933138075797),0.3225806451612903
54,2,POINT (-93.29901199955326 44.98708307984867),0.0967741935483871
54,3,POINT (-93.29901199955326 44.98933138075797),0.03225806451612903
55,0,POINT (-93.30218532671707 44.9915796816673),1.2258064516129032
55,1,POINT (-93.30218532671707 44.9938279825766),0.03225806451612903
