index,cond,RMSE,MAE,MAPE,SMAPE,SMAPE_zero
all,fixed,0.5128,0.2387,0.9288,1.3539,1.7689
all,prop,0.4722,0.2209,0.909,1.3215,1.71
ovl,fixed,0.2524,0.0883,0.9615,1.3272,1.8631
ovl,prop,0.2515,0.0933,0.9509,1.2862,1.8299
sep,fixed,1.5919,0.8622,0.7943,1.4647,1.3808
sep,prop,1.0809,0.5729,0.7911,1.4186,1.3724
