,m,uniform,weighted
RMSE,250m,0.275,0.2767
RMSE,500m,0.5028,0.5128
RMSE,750m,0.7519,0.7829
MAE,250m,0.0966,0.0975
MAE,500m,0.2329,0.2387
MAE,750m,0.3911,0.4097
MAPE,250m,0.9658,0.9655
MAPE,500m,0.9298,0.9288
MAPE,750m,0.8993,0.8976
SMAPE,250m,1.203,1.2031
SMAPE,500m,1.3539,1.3539
SMAPE,750m,1.2017,1.2007
SMAPE_0,250m,1.8871,1.8863
SMAPE_0,500m,1.7717,1.7689
SMAPE_0,750m,1.6827,1.6775
