,0
10,"POLYGON ((-94.60547175604117 39.0315525645136, -94.60691469931588 39.0315525645136, -94.60835764259059 39.0315525645136, -94.6098005858653 39.0315525645136, -94.6098005858653 39.03267671496826, -94.6098005858653 39.03380086542292, -94.6098005858653 39.03492501587758, -94.6098005858653 39.03604916633223, -94.60835764259059 39.03604916633223, -94.60691469931588 39.03604916633223, -94.60547175604117 39.03604916633223, -94.60402881276646 39.03604916633223, -94.60402881276646 39.03492501587758, -94.60402881276646 39.03380086542292, -94.60402881276646 39.03267671496826, -94.60402881276646 39.0315525645136, -94.60547175604117 39.0315525645136))"
11,"POLYGON ((-94.60547175604117 39.03604916633222, -94.60691469931588 39.03604916633222, -94.60835764259059 39.03604916633222, -94.6098005858653 39.03604916633222, -94.6098005858653 39.03717331678688, -94.6098005858653 39.03829746724153, -94.6098005858653 39.03942161769619, -94.6098005858653 39.04054576815085, -94.60835764259059 39.04054576815085, -94.60691469931588 39.04054576815085, -94.60547175604117 39.04054576815085, -94.60402881276646 39.04054576815085, -94.60402881276646 39.03942161769619, -94.60402881276646 39.03829746724153, -94.60402881276646 39.03717331678688, -94.60402881276646 39.03604916633222, -94.60547175604117 39.03604916633222))"
12,"POLYGON ((-94.60547175604117 39.04054576815084, -94.60691469931588 39.04054576815084, -94.60835764259059 39.04054576815084, -94.6098005858653 39.04054576815084, -94.6098005858653 39.04166991860549, -94.6098005858653 39.04279406906015, -94.6098005858653 39.04391821951481, -94.6098005858653 39.04504236996947, -94.60835764259059 39.04504236996947, -94.60691469931588 39.04504236996947, -94.60547175604117 39.04504236996947, -94.60402881276646 39.04504236996947, -94.60402881276646 39.04391821951481, -94.60402881276646 39.04279406906015, -94.60402881276646 39.04166991860549, -94.60402881276646 39.04054576815084, -94.60547175604117 39.04054576815084))"
13,"POLYGON ((-94.60547175604117 39.04504236996945, -94.60691469931588 39.04504236996945, -94.60835764259059 39.04504236996945, -94.6098005858653 39.04504236996945, -94.6098005858653 39.04616652042411, -94.6098005858653 39.04729067087877, -94.6098005858653 39.04841482133342, -94.6098005858653 39.04953897178808, -94.60835764259059 39.04953897178808, -94.60691469931588 39.04953897178808, -94.60547175604117 39.04953897178808, -94.60402881276646 39.04953897178808, -94.60402881276646 39.04841482133342, -94.60402881276646 39.04729067087877, -94.60402881276646 39.04616652042411, -94.60402881276646 39.04504236996945, -94.60547175604117 39.04504236996945))"
14,"POLYGON ((-94.60835764259059 39.04953897178807, -94.6098005858653 39.04953897178807, -94.6098005858653 39.05066312224272, -94.6098005858653 39.05178727269738, -94.6098005858653 39.05291142315204, -94.6098005858653 39.0540355736067, -94.60835764259059 39.0540355736067, -94.60691469931588 39.0540355736067, -94.60547175604117 39.0540355736067, -94.60402881276646 39.0540355736067, -94.60402881276646 39.05291142315204, -94.60402881276646 39.05178727269738, -94.60402881276646 39.05066312224272, -94.60402881276646 39.04953897178807, -94.60547175604117 39.04953897178807, -94.60691469931588 39.04953897178807, -94.60835764259059 39.04953897178807))"
15,"POLYGON ((-94.60547175604117 39.05403557360668, -94.60691469931588 39.05403557360668, -94.60835764259059 39.05403557360668, -94.6098005858653 39.05403557360668, -94.6098005858653 39.05515972406134, -94.6098005858653 39.056283874516, -94.6098005858653 39.05740802497066, -94.6098005858653 39.05853217542531, -94.60835764259059 39.05853217542531, -94.60691469931588 39.05853217542531, -94.60547175604117 39.05853217542531, -94.60402881276646 39.05853217542531, -94.60402881276646 39.05740802497066, -94.60402881276646 39.056283874516, -94.60402881276646 39.05515972406134, -94.60402881276646 39.05403557360668, -94.60547175604117 39.05403557360668))"
16,"POLYGON ((-94.60547175604117 39.0585321754253, -94.60691469931588 39.0585321754253, -94.60835764259059 39.0585321754253, -94.6098005858653 39.0585321754253, -94.6098005858653 39.05965632587996, -94.6098005858653 39.06078047633461, -94.6098005858653 39.06190462678927, -94.6098005858653 39.06302877724393, -94.60835764259059 39.06302877724393, -94.60691469931588 39.06302877724393, -94.60547175604117 39.06302877724393, -94.60402881276646 39.06302877724393, -94.60402881276646 39.06190462678927, -94.60402881276646 39.06078047633461, -94.60402881276646 39.05965632587996, -94.60402881276646 39.0585321754253, -94.60547175604117 39.0585321754253))"
17,"POLYGON ((-94.60547175604117 39.06302877724391, -94.60691469931588 39.06302877724391, -94.60835764259059 39.06302877724391, -94.6098005858653 39.06302877724391, -94.6098005858653 39.06415292769857, -94.6098005858653 39.06527707815323, -94.6098005858653 39.06640122860789, -94.6098005858653 39.06752537906254, -94.60835764259059 39.06752537906254, -94.60691469931588 39.06752537906254, -94.60547175604117 39.06752537906254, -94.60402881276646 39.06752537906254, -94.60402881276646 39.06640122860789, -94.60402881276646 39.06527707815323, -94.60402881276646 39.06415292769857, -94.60402881276646 39.06302877724391, -94.60547175604117 39.06302877724391))"
18,"POLYGON ((-94.60547175604117 39.06752537906253, -94.60691469931588 39.06752537906253, -94.60835764259059 39.06752537906253, -94.6098005858653 39.06752537906253, -94.6098005858653 39.06864952951719, -94.6098005858653 39.06977367997185, -94.6098005858653 39.0708978304265, -94.6098005858653 39.07202198088116, -94.60835764259059 39.07202198088116, -94.60691469931588 39.07202198088116, -94.60547175604117 39.07202198088116, -94.60402881276646 39.07202198088116, -94.60402881276646 39.0708978304265, -94.60402881276646 39.06977367997185, -94.60402881276646 39.06864952951719, -94.60402881276646 39.06752537906253, -94.60547175604117 39.06752537906253))"
19,"POLYGON ((-94.60547175604117 39.07202198088115, -94.60691469931588 39.07202198088115, -94.60835764259059 39.07202198088115, -94.6098005858653 39.07202198088115, -94.6098005858653 39.0731461313358, -94.6098005858653 39.07427028179046, -94.6098005858653 39.07539443224512, -94.6098005858653 39.07651858269978, -94.60835764259059 39.07651858269978, -94.60691469931588 39.07651858269978, -94.60547175604117 39.07651858269978, -94.60402881276646 39.07651858269978, -94.60402881276646 39.07539443224512, -94.60402881276646 39.07427028179046, -94.60402881276646 39.0731461313358, -94.60402881276646 39.07202198088115, -94.60547175604117 39.07202198088115))"
