,0
10,"POLYGON ((-94.58815643674464 39.09225668906493, -94.58959938001935 39.09225668906493, -94.59104232329406 39.09225668906493, -94.59248526656877 39.09225668906493, -94.59248526656877 39.09338083951958, -94.59248526656877 39.09450498997424, -94.59104232329406 39.09450498997424, -94.58959938001935 39.09450498997424, -94.58815643674464 39.09450498997424, -94.58671349346993 39.09450498997424, -94.58671349346993 39.09338083951958, -94.58671349346993 39.09225668906493, -94.58815643674464 39.09225668906493))"
11,"POLYGON ((-94.59104232329406 39.03604916633222, -94.59248526656877 39.03604916633222, -94.59248526656877 39.03717331678688, -94.59248526656877 39.03829746724153, -94.59248526656877 39.03942161769619, -94.59248526656877 39.04054576815085, -94.59104232329406 39.04054576815085, -94.58959938001935 39.04054576815085, -94.58815643674464 39.04054576815085, -94.58671349346993 39.04054576815085, -94.58671349346993 39.03942161769619, -94.58671349346993 39.03829746724153, -94.58815643674464 39.03829746724153, -94.58959938001935 39.03829746724153, -94.58959938001935 39.03717331678688, -94.58959938001935 39.03604916633222, -94.59104232329406 39.03604916633222))"
12,"POLYGON ((-94.59392820984348 39.03604916633222, -94.59537115311819 39.03604916633222, -94.59537115311819 39.03717331678688, -94.59537115311819 39.03829746724153, -94.59537115311819 39.03942161769619, -94.59537115311819 39.04054576815085, -94.59392820984348 39.04054576815085, -94.59248526656877 39.04054576815085, -94.59248526656877 39.03942161769619, -94.59248526656877 39.03829746724153, -94.59248526656877 39.03717331678688, -94.59248526656877 39.03604916633222, -94.59392820984348 39.03604916633222))"
13,"POLYGON ((-94.59392820984348 39.04279406906015, -94.59537115311819 39.04279406906015, -94.59537115311819 39.04391821951481, -94.59537115311819 39.04504236996945, -94.59537115311819 39.04504236996947, -94.59537115311819 39.04616652042411, -94.59537115311819 39.04729067087877, -94.59392820984348 39.04729067087877, -94.59248526656877 39.04729067087877, -94.59248526656877 39.04616652042411, -94.59248526656877 39.04504236996947, -94.59248526656877 39.04504236996945, -94.59248526656877 39.04391821951481, -94.59248526656877 39.04279406906015, -94.59392820984348 39.04279406906015))"
14,"POLYGON ((-94.59104232329406 39.08326348542769, -94.59248526656877 39.08326348542769, -94.59248526656877 39.08438763588235, -94.59248526656877 39.08551178633699, -94.59248526656877 39.08551178633701, -94.59248526656877 39.08663593679165, -94.59248526656877 39.08776008724631, -94.59248526656877 39.08888423770097, -94.59248526656877 39.09000838815562, -94.59104232329406 39.09000838815562, -94.58959938001935 39.09000838815562, -94.58959938001935 39.08888423770097, -94.58959938001935 39.08776008724631, -94.58959938001935 39.08663593679165, -94.58959938001935 39.08551178633701, -94.58959938001935 39.08551178633699, -94.58959938001935 39.08438763588235, -94.58959938001935 39.08326348542769, -94.59104232329406 39.08326348542769))"
15,"POLYGON ((-94.58815643674464 39.04504236996945, -94.58959938001935 39.04504236996945, -94.59104232329406 39.04504236996945, -94.59248526656877 39.04504236996945, -94.59248526656877 39.04616652042411, -94.59248526656877 39.04729067087877, -94.59104232329406 39.04729067087877, -94.58959938001935 39.04729067087877, -94.58959938001935 39.04841482133342, -94.58959938001935 39.04953897178808, -94.58815643674464 39.04953897178808, -94.58671349346993 39.04953897178808, -94.58671349346993 39.04841482133342, -94.58671349346993 39.04729067087877, -94.58527055019522 39.04729067087877, -94.58382760692051 39.04729067087877, -94.58382760692051 39.04616652042411, -94.58382760692051 39.04504236996945, -94.58527055019522 39.04504236996945, -94.58671349346993 39.04504236996945, -94.58815643674464 39.04504236996945))"
16,"POLYGON ((-94.59104232329406 39.04953897178807, -94.59248526656877 39.04953897178807, -94.59248526656877 39.05066312224272, -94.59248526656877 39.05178727269738, -94.59248526656877 39.05291142315204, -94.59248526656877 39.05403557360668, -94.59248526656877 39.0540355736067, -94.59248526656877 39.05515972406134, -94.59248526656877 39.056283874516, -94.59104232329406 39.056283874516, -94.58959938001935 39.056283874516, -94.58959938001935 39.05515972406134, -94.58959938001935 39.0540355736067, -94.58959938001935 39.05403557360668, -94.58959938001935 39.05291142315204, -94.58959938001935 39.05178727269738, -94.58959938001935 39.05066312224272, -94.58959938001935 39.04953897178807, -94.59104232329406 39.04953897178807))"
17,"POLYGON ((-94.58815643674464 39.04953897178807, -94.58959938001935 39.04953897178807, -94.58959938001935 39.05066312224272, -94.58959938001935 39.05178727269738, -94.58959938001935 39.05291142315204, -94.58959938001935 39.05403557360668, -94.58959938001935 39.0540355736067, -94.58959938001935 39.05515972406134, -94.58959938001935 39.056283874516, -94.58815643674464 39.056283874516, -94.58671349346993 39.056283874516, -94.58671349346993 39.05515972406134, -94.58671349346993 39.0540355736067, -94.58527055019522 39.0540355736067, -94.58382760692051 39.0540355736067, -94.58382760692051 39.05291142315204, -94.58382760692051 39.05178727269738, -94.58527055019522 39.05178727269738, -94.58671349346993 39.05178727269738, -94.58671349346993 39.05066312224272, -94.58671349346993 39.04953897178807, -94.58815643674464 39.04953897178807))"
18,"POLYGON ((-94.58815643674464 39.07876688360908, -94.58959938001935 39.07876688360908, -94.59104232329406 39.07876688360908, -94.59248526656877 39.07876688360908, -94.59248526656877 39.07989103406373, -94.59248526656877 39.08101518451839, -94.59104232329406 39.08101518451839, -94.58959938001935 39.08101518451839, -94.58959938001935 39.08213933497304, -94.58959938001935 39.08326348542769, -94.58815643674464 39.08326348542769, -94.58671349346993 39.08326348542769, -94.58671349346993 39.08213933497304, -94.58671349346993 39.08101518451839, -94.58527055019522 39.08101518451839, -94.58382760692051 39.08101518451839, -94.58382760692051 39.07989103406373, -94.58382760692051 39.07876688360908, -94.58527055019522 39.07876688360908, -94.58671349346993 39.07876688360908, -94.58815643674464 39.07876688360908))"
19,"POLYGON ((-94.58527055019522 39.08101518451838, -94.58671349346993 39.08101518451838, -94.58671349346993 39.08213933497304, -94.58671349346993 39.08326348542769, -94.58815643674464 39.08326348542769, -94.58959938001935 39.08326348542769, -94.58959938001935 39.08438763588235, -94.58959938001935 39.08551178633701, -94.58815643674464 39.08551178633701, -94.58671349346993 39.08551178633701, -94.58527055019522 39.08551178633701, -94.58382760692051 39.08551178633701, -94.58382760692051 39.08438763588235, -94.58382760692051 39.08326348542769, -94.58382760692051 39.08213933497304, -94.58382760692051 39.08101518451838, -94.58527055019522 39.08101518451838))"
