index,cond,RMSE,MAE,MAPE,SMAPE,SMAPE_zero
all,fixed,0.5028,0.2329,0.9298,1.3539,1.7717
all,prop,0.4657,0.2171,0.91,1.3214,1.713
ovl,fixed,0.2518,0.0879,0.9616,1.3268,1.8635
ovl,prop,0.2509,0.0929,0.951,1.2859,1.8303
sep,fixed,1.564,0.8457,0.7961,1.4685,1.386
sep,prop,1.0655,0.5638,0.7931,1.4207,1.3783
