index,cond,RMSE,MAE,MAPE,SMAPE,SMAPE_zero
all,fixed,0.8102,0.3939,0.9436,1.2074,1.8191
all,prop,0.7582,0.3635,0.938,0.7075,1.802
ovl,fixed,0.2087,0.0532,0.9704,1.2031,1.8983
ovl,prop,0.2095,0.054,0.9683,0.6344,1.8892
sep,fixed,2.8799,1.5661,0.8514,1.2224,1.5465
sep,prop,2.1684,1.1587,0.857,0.8952,1.5689
