,0
0,"POLYGON ((-94.62134413191875 39.04279406906014, -94.61845824536644 39.04279406906014, -94.61845824536644 39.04504236996945, -94.62134413191875 39.04504236996945, -94.62134413191875 39.04279406906014))"
1,"POLYGON ((-94.62134413191875 39.05178727269737, -94.61845824536644 39.05178727269737, -94.61845824536644 39.05403557360668, -94.62134413191875 39.05403557360668, -94.62134413191875 39.05178727269737))"
2,"POLYGON ((-94.61845824536644 39.04279406906014, -94.61557235881413 39.04279406906014, -94.61557235881413 39.04504236996945, -94.61845824536644 39.04504236996945, -94.61845824536644 39.04279406906014))"
3,"POLYGON ((-94.61557235881413 39.03829746724153, -94.61268647226183 39.03829746724153, -94.61268647226183 39.04054576815084, -94.61557235881413 39.04054576815084, -94.61557235881413 39.03829746724153))"
4,"POLYGON ((-94.61557235881413 39.05403557360668, -94.61268647226183 39.05403557360668, -94.61268647226183 39.05628387451599, -94.61557235881413 39.05628387451599, -94.61557235881413 39.05403557360668))"
5,"POLYGON ((-94.61268647226183 39.03604916633222, -94.60980058570952 39.03604916633222, -94.60980058570952 39.03829746724153, -94.61268647226183 39.03829746724153, -94.61268647226183 39.03604916633222))"
6,"POLYGON ((-94.61268647226183 39.04054576815084, -94.60980058570952 39.04054576815084, -94.60980058570952 39.04279406906014, -94.61268647226183 39.04279406906014, -94.61268647226183 39.04054576815084))"
7,"POLYGON ((-94.61268647226183 39.04279406906014, -94.60980058570952 39.04279406906014, -94.60980058570952 39.04504236996945, -94.61268647226183 39.04504236996945, -94.61268647226183 39.04279406906014))"
8,"POLYGON ((-94.61268647226183 39.04504236996945, -94.60980058570952 39.04504236996945, -94.60980058570952 39.04729067087876, -94.61268647226183 39.04729067087876, -94.61268647226183 39.04504236996945))"
9,"POLYGON ((-94.61268647226183 39.04729067087876, -94.60980058570952 39.04729067087876, -94.60980058570952 39.04953897178807, -94.61268647226183 39.04953897178807, -94.61268647226183 39.04729067087876))"
10,"POLYGON ((-94.61268647226183 39.04953897178807, -94.60980058570952 39.04953897178807, -94.60980058570952 39.05178727269737, -94.61268647226183 39.05178727269737, -94.61268647226183 39.04953897178807))"
11,"POLYGON ((-94.61268647226183 39.05178727269737, -94.60980058570952 39.05178727269737, -94.60980058570952 39.05403557360668, -94.61268647226183 39.05403557360668, -94.61268647226183 39.05178727269737))"
12,"POLYGON ((-94.61268647226183 39.05403557360668, -94.60980058570952 39.05403557360668, -94.60980058570952 39.05628387451599, -94.61268647226183 39.05628387451599, -94.61268647226183 39.05403557360668))"
13,"POLYGON ((-94.61268647226183 39.05628387451599, -94.60980058570952 39.05628387451599, -94.60980058570952 39.0585321754253, -94.61268647226183 39.0585321754253, -94.61268647226183 39.05628387451599))"
14,"POLYGON ((-94.61268647226183 39.10349819361146, -94.60980058570952 39.10349819361146, -94.60980058570952 39.10574649452077, -94.61268647226183 39.10574649452077, -94.61268647226183 39.10349819361146))"
15,"POLYGON ((-94.60980058570952 39.04054576815084, -94.60691469915722 39.04054576815084, -94.60691469915722 39.04279406906014, -94.60980058570952 39.04279406906014, -94.60980058570952 39.04054576815084))"
16,"POLYGON ((-94.60980058570952 39.04279406906014, -94.60691469915722 39.04279406906014, -94.60691469915722 39.04504236996945, -94.60980058570952 39.04504236996945, -94.60980058570952 39.04279406906014))"
17,"POLYGON ((-94.60980058570952 39.04504236996945, -94.60691469915722 39.04504236996945, -94.60691469915722 39.04729067087876, -94.60980058570952 39.04729067087876, -94.60980058570952 39.04504236996945))"
18,"POLYGON ((-94.60980058570952 39.04729067087876, -94.60691469915722 39.04729067087876, -94.60691469915722 39.04953897178807, -94.60980058570952 39.04953897178807, -94.60980058570952 39.04729067087876))"
19,"POLYGON ((-94.60980058570952 39.04953897178807, -94.60691469915722 39.04953897178807, -94.60691469915722 39.05178727269737, -94.60980058570952 39.05178727269737, -94.60980058570952 39.04953897178807))"
20,"POLYGON ((-94.60980058570952 39.05403557360668, -94.60691469915722 39.05403557360668, -94.60691469915722 39.05628387451599, -94.60980058570952 39.05628387451599, -94.60980058570952 39.05403557360668))"
21,"POLYGON ((-94.60980058570952 39.05628387451599, -94.60691469915722 39.05628387451599, -94.60691469915722 39.0585321754253, -94.60980058570952 39.0585321754253, -94.60980058570952 39.05628387451599))"
22,"POLYGON ((-94.60980058570952 39.06078047633461, -94.60691469915722 39.06078047633461, -94.60691469915722 39.06302877724391, -94.60980058570952 39.06302877724391, -94.60980058570952 39.06078047633461))"
23,"POLYGON ((-94.60980058570952 39.06977367997184, -94.60691469915722 39.06977367997184, -94.60691469915722 39.07202198088115, -94.60980058570952 39.07202198088115, -94.60980058570952 39.06977367997184))"
24,"POLYGON ((-94.60980058570952 39.09225668906492, -94.60691469915722 39.09225668906492, -94.60691469915722 39.09450498997423, -94.60980058570952 39.09450498997423, -94.60980058570952 39.09225668906492))"
25,"POLYGON ((-94.60980058570952 39.10349819361146, -94.60691469915722 39.10349819361146, -94.60691469915722 39.10574649452077, -94.60980058570952 39.10574649452077, -94.60980058570952 39.10349819361146))"
26,"POLYGON ((-94.60691469915722 39.03380086542291, -94.60402881260491 39.03380086542291, -94.60402881260491 39.03604916633222, -94.60691469915722 39.03604916633222, -94.60691469915722 39.03380086542291))"
27,"POLYGON ((-94.60691469915722 39.03604916633222, -94.60402881260491 39.03604916633222, -94.60402881260491 39.03829746724153, -94.60691469915722 39.03829746724153, -94.60691469915722 39.03604916633222))"
28,"POLYGON ((-94.60691469915722 39.03829746724153, -94.60402881260491 39.03829746724153, -94.60402881260491 39.04054576815084, -94.60691469915722 39.04054576815084, -94.60691469915722 39.03829746724153))"
29,"POLYGON ((-94.60691469915722 39.04054576815084, -94.60402881260491 39.04054576815084, -94.60402881260491 39.04279406906014, -94.60691469915722 39.04279406906014, -94.60691469915722 39.04054576815084))"
30,"POLYGON ((-94.60691469915722 39.04279406906014, -94.60402881260491 39.04279406906014, -94.60402881260491 39.04504236996945, -94.60691469915722 39.04504236996945, -94.60691469915722 39.04279406906014))"
31,"POLYGON ((-94.60691469915722 39.04504236996945, -94.60402881260491 39.04504236996945, -94.60402881260491 39.04729067087876, -94.60691469915722 39.04729067087876, -94.60691469915722 39.04504236996945))"
32,"POLYGON ((-94.60691469915722 39.04729067087876, -94.60402881260491 39.04729067087876, -94.60402881260491 39.04953897178807, -94.60691469915722 39.04953897178807, -94.60691469915722 39.04729067087876))"
33,"POLYGON ((-94.60691469915722 39.04953897178807, -94.60402881260491 39.04953897178807, -94.60402881260491 39.05178727269737, -94.60691469915722 39.05178727269737, -94.60691469915722 39.04953897178807))"
34,"POLYGON ((-94.60691469915722 39.05178727269737, -94.60402881260491 39.05178727269737, -94.60402881260491 39.05403557360668, -94.60691469915722 39.05403557360668, -94.60691469915722 39.05178727269737))"
35,"POLYGON ((-94.60691469915722 39.05403557360668, -94.60402881260491 39.05403557360668, -94.60402881260491 39.05628387451599, -94.60691469915722 39.05628387451599, -94.60691469915722 39.05403557360668))"
36,"POLYGON ((-94.60691469915722 39.05628387451599, -94.60402881260491 39.05628387451599, -94.60402881260491 39.0585321754253, -94.60691469915722 39.0585321754253, -94.60691469915722 39.05628387451599))"
37,"POLYGON ((-94.60691469915722 39.06078047633461, -94.60402881260491 39.06078047633461, -94.60402881260491 39.06302877724391, -94.60691469915722 39.06302877724391, -94.60691469915722 39.06078047633461))"
38,"POLYGON ((-94.60691469915722 39.06302877724391, -94.60402881260491 39.06302877724391, -94.60402881260491 39.06527707815322, -94.60691469915722 39.06527707815322, -94.60691469915722 39.06302877724391))"
39,"POLYGON ((-94.60691469915722 39.07202198088115, -94.60402881260491 39.07202198088115, -94.60402881260491 39.07427028179045, -94.60691469915722 39.07427028179045, -94.60691469915722 39.07202198088115))"
40,"POLYGON ((-94.60691469915722 39.07427028179045, -94.60402881260491 39.07427028179045, -94.60402881260491 39.07651858269976, -94.60691469915722 39.07651858269976, -94.60691469915722 39.07427028179045))"
41,"POLYGON ((-94.60691469915722 39.08551178633699, -94.60402881260491 39.08551178633699, -94.60402881260491 39.0877600872463, -94.60691469915722 39.0877600872463, -94.60691469915722 39.08551178633699))"
42,"POLYGON ((-94.60691469915722 39.09000838815561, -94.60402881260491 39.09000838815561, -94.60402881260491 39.09225668906492, -94.60691469915722 39.09225668906492, -94.60691469915722 39.09000838815561))"
43,"POLYGON ((-94.60691469915722 39.09225668906492, -94.60402881260491 39.09225668906492, -94.60402881260491 39.09450498997423, -94.60691469915722 39.09450498997423, -94.60691469915722 39.09225668906492))"
44,"POLYGON ((-94.60691469915722 39.09450498997423, -94.60402881260491 39.09450498997423, -94.60402881260491 39.09675329088353, -94.60691469915722 39.09675329088353, -94.60691469915722 39.09450498997423))"
45,"POLYGON ((-94.60691469915722 39.10349819361146, -94.60402881260491 39.10349819361146, -94.60402881260491 39.10574649452077, -94.60691469915722 39.10574649452077, -94.60691469915722 39.10349819361146))"
46,"POLYGON ((-94.60402881260491 39.03604916633222, -94.6011429260526 39.03604916633222, -94.6011429260526 39.03829746724153, -94.60402881260491 39.03829746724153, -94.60402881260491 39.03604916633222))"
47,"POLYGON ((-94.60402881260491 39.03829746724153, -94.6011429260526 39.03829746724153, -94.6011429260526 39.04054576815084, -94.60402881260491 39.04054576815084, -94.60402881260491 39.03829746724153))"
48,"POLYGON ((-94.60402881260491 39.04054576815084, -94.6011429260526 39.04054576815084, -94.6011429260526 39.04279406906014, -94.60402881260491 39.04279406906014, -94.60402881260491 39.04054576815084))"
49,"POLYGON ((-94.60402881260491 39.04279406906014, -94.6011429260526 39.04279406906014, -94.6011429260526 39.04504236996945, -94.60402881260491 39.04504236996945, -94.60402881260491 39.04279406906014))"
50,"POLYGON ((-94.60402881260491 39.04504236996945, -94.6011429260526 39.04504236996945, -94.6011429260526 39.04729067087876, -94.60402881260491 39.04729067087876, -94.60402881260491 39.04504236996945))"
51,"POLYGON ((-94.60402881260491 39.04729067087876, -94.6011429260526 39.04729067087876, -94.6011429260526 39.04953897178807, -94.60402881260491 39.04953897178807, -94.60402881260491 39.04729067087876))"
52,"POLYGON ((-94.60402881260491 39.04953897178807, -94.6011429260526 39.04953897178807, -94.6011429260526 39.05178727269737, -94.60402881260491 39.05178727269737, -94.60402881260491 39.04953897178807))"
53,"POLYGON ((-94.60402881260491 39.05178727269737, -94.6011429260526 39.05178727269737, -94.6011429260526 39.05403557360668, -94.60402881260491 39.05403557360668, -94.60402881260491 39.05178727269737))"
54,"POLYGON ((-94.60402881260491 39.05403557360668, -94.6011429260526 39.05403557360668, -94.6011429260526 39.05628387451599, -94.60402881260491 39.05628387451599, -94.60402881260491 39.05403557360668))"
55,"POLYGON ((-94.60402881260491 39.05628387451599, -94.6011429260526 39.05628387451599, -94.6011429260526 39.0585321754253, -94.60402881260491 39.0585321754253, -94.60402881260491 39.05628387451599))"
56,"POLYGON ((-94.60402881260491 39.0585321754253, -94.6011429260526 39.0585321754253, -94.6011429260526 39.06078047633461, -94.60402881260491 39.06078047633461, -94.60402881260491 39.0585321754253))"
57,"POLYGON ((-94.60402881260491 39.06078047633461, -94.6011429260526 39.06078047633461, -94.6011429260526 39.06302877724391, -94.60402881260491 39.06302877724391, -94.60402881260491 39.06078047633461))"
58,"POLYGON ((-94.60402881260491 39.07427028179045, -94.6011429260526 39.07427028179045, -94.6011429260526 39.07651858269976, -94.60402881260491 39.07651858269976, -94.60402881260491 39.07427028179045))"
59,"POLYGON ((-94.60402881260491 39.07876688360907, -94.6011429260526 39.07876688360907, -94.6011429260526 39.08101518451838, -94.60402881260491 39.08101518451838, -94.60402881260491 39.07876688360907))"
60,"POLYGON ((-94.60402881260491 39.09450498997423, -94.6011429260526 39.09450498997423, -94.6011429260526 39.09675329088353, -94.60402881260491 39.09675329088353, -94.60402881260491 39.09450498997423))"
61,"POLYGON ((-94.60402881260491 39.09675329088353, -94.6011429260526 39.09675329088353, -94.6011429260526 39.09900159179284, -94.60402881260491 39.09900159179284, -94.60402881260491 39.09675329088353))"
62,"POLYGON ((-94.60402881260491 39.09900159179284, -94.6011429260526 39.09900159179284, -94.6011429260526 39.10124989270215, -94.60402881260491 39.10124989270215, -94.60402881260491 39.09900159179284))"
63,"POLYGON ((-94.60402881260491 39.10124989270215, -94.6011429260526 39.10124989270215, -94.6011429260526 39.10349819361146, -94.60402881260491 39.10349819361146, -94.60402881260491 39.10124989270215))"
64,"POLYGON ((-94.60402881260491 39.10349819361146, -94.6011429260526 39.10349819361146, -94.6011429260526 39.10574649452077, -94.60402881260491 39.10574649452077, -94.60402881260491 39.10349819361146))"
65,"POLYGON ((-94.6011429260526 39.02255936087637, -94.5982570395003 39.02255936087637, -94.5982570395003 39.02480766178568, -94.6011429260526 39.02480766178568, -94.6011429260526 39.02255936087637))"
66,"POLYGON ((-94.6011429260526 39.0315525645136, -94.5982570395003 39.0315525645136, -94.5982570395003 39.03380086542291, -94.6011429260526 39.03380086542291, -94.6011429260526 39.0315525645136))"
67,"POLYGON ((-94.6011429260526 39.03604916633222, -94.5982570395003 39.03604916633222, -94.5982570395003 39.03829746724153, -94.6011429260526 39.03829746724153, -94.6011429260526 39.03604916633222))"
68,"POLYGON ((-94.6011429260526 39.03829746724153, -94.5982570395003 39.03829746724153, -94.5982570395003 39.04054576815084, -94.6011429260526 39.04054576815084, -94.6011429260526 39.03829746724153))"
69,"POLYGON ((-94.6011429260526 39.04054576815084, -94.5982570395003 39.04054576815084, -94.5982570395003 39.04279406906014, -94.6011429260526 39.04279406906014, -94.6011429260526 39.04054576815084))"
70,"POLYGON ((-94.6011429260526 39.04279406906014, -94.5982570395003 39.04279406906014, -94.5982570395003 39.04504236996945, -94.6011429260526 39.04504236996945, -94.6011429260526 39.04279406906014))"
71,"POLYGON ((-94.6011429260526 39.04504236996945, -94.5982570395003 39.04504236996945, -94.5982570395003 39.04729067087876, -94.6011429260526 39.04729067087876, -94.6011429260526 39.04504236996945))"
72,"POLYGON ((-94.6011429260526 39.04729067087876, -94.5982570395003 39.04729067087876, -94.5982570395003 39.04953897178807, -94.6011429260526 39.04953897178807, -94.6011429260526 39.04729067087876))"
73,"POLYGON ((-94.6011429260526 39.04953897178807, -94.5982570395003 39.04953897178807, -94.5982570395003 39.05178727269737, -94.6011429260526 39.05178727269737, -94.6011429260526 39.04953897178807))"
74,"POLYGON ((-94.6011429260526 39.05178727269737, -94.5982570395003 39.05178727269737, -94.5982570395003 39.05403557360668, -94.6011429260526 39.05403557360668, -94.6011429260526 39.05178727269737))"
75,"POLYGON ((-94.6011429260526 39.05403557360668, -94.5982570395003 39.05403557360668, -94.5982570395003 39.05628387451599, -94.6011429260526 39.05628387451599, -94.6011429260526 39.05403557360668))"
76,"POLYGON ((-94.6011429260526 39.05628387451599, -94.5982570395003 39.05628387451599, -94.5982570395003 39.0585321754253, -94.6011429260526 39.0585321754253, -94.6011429260526 39.05628387451599))"
77,"POLYGON ((-94.6011429260526 39.0585321754253, -94.5982570395003 39.0585321754253, -94.5982570395003 39.06078047633461, -94.6011429260526 39.06078047633461, -94.6011429260526 39.0585321754253))"
78,"POLYGON ((-94.6011429260526 39.06078047633461, -94.5982570395003 39.06078047633461, -94.5982570395003 39.06302877724391, -94.6011429260526 39.06302877724391, -94.6011429260526 39.06078047633461))"
79,"POLYGON ((-94.6011429260526 39.06527707815322, -94.5982570395003 39.06527707815322, -94.5982570395003 39.06752537906253, -94.6011429260526 39.06752537906253, -94.6011429260526 39.06527707815322))"
80,"POLYGON ((-94.6011429260526 39.07651858269976, -94.5982570395003 39.07651858269976, -94.5982570395003 39.07876688360907, -94.6011429260526 39.07876688360907, -94.6011429260526 39.07651858269976))"
81,"POLYGON ((-94.6011429260526 39.07876688360907, -94.5982570395003 39.07876688360907, -94.5982570395003 39.08101518451838, -94.6011429260526 39.08101518451838, -94.6011429260526 39.07876688360907))"
82,"POLYGON ((-94.6011429260526 39.08551178633699, -94.5982570395003 39.08551178633699, -94.5982570395003 39.0877600872463, -94.6011429260526 39.0877600872463, -94.6011429260526 39.08551178633699))"
83,"POLYGON ((-94.6011429260526 39.0877600872463, -94.5982570395003 39.0877600872463, -94.5982570395003 39.09000838815561, -94.6011429260526 39.09000838815561, -94.6011429260526 39.0877600872463))"
84,"POLYGON ((-94.6011429260526 39.09900159179284, -94.5982570395003 39.09900159179284, -94.5982570395003 39.10124989270215, -94.6011429260526 39.10124989270215, -94.6011429260526 39.09900159179284))"
85,"POLYGON ((-94.6011429260526 39.10124989270215, -94.5982570395003 39.10124989270215, -94.5982570395003 39.10349819361146, -94.6011429260526 39.10349819361146, -94.6011429260526 39.10124989270215))"
86,"POLYGON ((-94.5982570395003 39.0293042636043, -94.59537115294799 39.0293042636043, -94.59537115294799 39.0315525645136, -94.5982570395003 39.0315525645136, -94.5982570395003 39.0293042636043))"
87,"POLYGON ((-94.5982570395003 39.0315525645136, -94.59537115294799 39.0315525645136, -94.59537115294799 39.03380086542291, -94.5982570395003 39.03380086542291, -94.5982570395003 39.0315525645136))"
88,"POLYGON ((-94.5982570395003 39.03380086542291, -94.59537115294799 39.03380086542291, -94.59537115294799 39.03604916633222, -94.5982570395003 39.03604916633222, -94.5982570395003 39.03380086542291))"
89,"POLYGON ((-94.5982570395003 39.03829746724153, -94.59537115294799 39.03829746724153, -94.59537115294799 39.04054576815084, -94.5982570395003 39.04054576815084, -94.5982570395003 39.03829746724153))"
90,"POLYGON ((-94.5982570395003 39.04054576815084, -94.59537115294799 39.04054576815084, -94.59537115294799 39.04279406906014, -94.5982570395003 39.04279406906014, -94.5982570395003 39.04054576815084))"
