,0
10,"POLYGON ((-94.58671349346993 39.09675329088353, -94.58671349346994 39.09675329088353, -94.58671349346994 39.09675329088354, -94.58671349346994 39.09900159179286, -94.58671349346994 39.09900159179286, -94.58671349346993 39.09900159179286, -94.58094172037109 39.09900159179286, -94.58094172037107 39.09900159179286, -94.58094172037107 39.09900159179286, -94.58094172037107 39.09675329088354, -94.58094172037107 39.09675329088353, -94.58094172037109 39.09675329088353, -94.58671349346993 39.09675329088353))"
11,"POLYGON ((-94.58671349346993 39.09900159179283, -94.58671349346994 39.09900159179283, -94.58671349346994 39.09900159179284, -94.58671349346994 39.10124989270215, -94.58959938001935 39.10124989270215, -94.58959938001937 39.10124989270215, -94.58959938001937 39.10124989270216, -94.58959938001937 39.10349819361147, -94.58959938001937 39.10349819361148, -94.58959938001935 39.10349819361148, -94.58382760692051 39.10349819361148, -94.58382760692049 39.10349819361148, -94.58382760692049 39.10349819361147, -94.58382760692049 39.09900159179284, -94.58382760692049 39.09900159179283, -94.58382760692051 39.09900159179283, -94.58671349346993 39.09900159179283))"
12,"POLYGON ((-94.58671349346993 39.09225668906492, -94.58671349346994 39.09225668906492, -94.58671349346994 39.09225668906493, -94.58671349346994 39.09450498997424, -94.58671349346994 39.09450498997425, -94.58671349346993 39.09450498997425, -94.58094172037109 39.09450498997425, -94.58094172037107 39.09450498997425, -94.58094172037107 39.09450498997424, -94.58094172037107 39.09225668906493, -94.58094172037107 39.09225668906492, -94.58094172037109 39.09225668906492, -94.58671349346993 39.09225668906492))"
13,"POLYGON ((-94.59537115311819 39.03604916633221, -94.59537115311821 39.03604916633221, -94.59537115311821 39.03604916633222, -94.59537115311821 39.04279406906015, -94.59537115311821 39.04279406906016, -94.59537115311819 39.04279406906016, -94.59248526656877 39.04279406906016, -94.59248526656876 39.04279406906016, -94.59248526656876 39.04279406906015, -94.59248526656876 39.03604916633222, -94.59248526656876 39.03604916633221, -94.59248526656877 39.03604916633221, -94.59537115311819 39.03604916633221))"
14,"POLYGON ((-94.58382760692051 39.09900159179283, -94.58382760692052 39.09900159179283, -94.58382760692052 39.09900159179284, -94.58382760692052 39.10349819361147, -94.58382760692052 39.10349819361148, -94.58382760692051 39.10349819361148, -94.58094172037109 39.10349819361148, -94.58094172037107 39.10349819361148, -94.58094172037107 39.10349819361147, -94.58094172037107 39.09900159179284, -94.58094172037107 39.09900159179283, -94.58094172037109 39.09900159179283, -94.58382760692051 39.09900159179283))"
15,"POLYGON ((-94.58671349346993 39.04279406906014, -94.58671349346994 39.04279406906014, -94.58671349346994 39.04279406906015, -94.58671349346994 39.04504236996944, -94.59248526656877 39.04504236996944, -94.59248526656879 39.04504236996944, -94.59248526656879 39.04504236996945, -94.59248526656879 39.04729067087877, -94.59248526656879 39.04729067087877, -94.59248526656877 39.04729067087877, -94.58959938001937 39.04729067087877, -94.58959938001937 39.04953897178808, -94.58959938001937 39.04953897178809, -94.58959938001935 39.04953897178809, -94.58671349346993 39.04953897178809, -94.58671349346992 39.04953897178809, -94.58671349346992 39.04953897178808, -94.58671349346992 39.04729067087877, -94.58382760692051 39.04729067087877, -94.58382760692049 39.04729067087877, -94.58382760692049 39.04729067087877, -94.58382760692049 39.04279406906015, -94.58382760692049 39.04279406906014, -94.58382760692051 39.04279406906014, -94.58671349346993 39.04279406906014))"
16,"POLYGON ((-94.58959938001935 39.04054576815083, -94.58959938001937 39.04054576815083, -94.58959938001937 39.04054576815084, -94.58959938001937 39.04504236996947, -94.58959938001937 39.04504236996947, -94.58959938001935 39.04504236996947, -94.58671349346993 39.04504236996947, -94.58671349346992 39.04504236996947, -94.58671349346992 39.04504236996947, -94.58671349346992 39.04054576815084, -94.58671349346992 39.04054576815083, -94.58671349346993 39.04054576815083, -94.58959938001935 39.04054576815083))"
17,"POLYGON ((-94.58671349346993 39.10799479543007, -94.58671349346994 39.10799479543007, -94.58671349346994 39.10799479543007, -94.58671349346994 39.11024309633939, -94.58671349346994 39.1102430963394, -94.58671349346993 39.1102430963394, -94.58382760692051 39.1102430963394, -94.58382760692049 39.1102430963394, -94.58382760692049 39.11024309633939, -94.58382760692049 39.10799479543007, -94.58382760692049 39.10799479543007, -94.58382760692051 39.10799479543007, -94.58671349346993 39.10799479543007))"
18,"POLYGON ((-94.58959938001935 39.09675329088353, -94.58959938001937 39.09675329088353, -94.58959938001937 39.09675329088354, -94.58959938001937 39.10124989270216, -94.58959938001937 39.10124989270216, -94.58959938001935 39.10124989270216, -94.58671349346993 39.10124989270216, -94.58671349346992 39.10124989270216, -94.58671349346992 39.10124989270216, -94.58671349346992 39.09675329088354, -94.58671349346992 39.09675329088353, -94.58671349346993 39.09675329088353, -94.58959938001935 39.09675329088353))"
19,"POLYGON ((-94.58959938001935 39.08551178633699, -94.58959938001937 39.08551178633699, -94.58959938001937 39.08551178633699, -94.58959938001937 39.09000838815562, -94.58959938001937 39.09000838815563, -94.58959938001935 39.09000838815563, -94.58671349346993 39.09000838815563, -94.58671349346992 39.09000838815563, -94.58671349346992 39.09000838815562, -94.58671349346992 39.08776008724632, -94.58382760692051 39.08776008724632, -94.58382760692049 39.08776008724632, -94.58382760692049 39.08776008724631, -94.58382760692049 39.08551178633699, -94.58382760692049 39.08551178633699, -94.58382760692051 39.08551178633699, -94.58959938001935 39.08551178633699))"
20,"POLYGON ((-94.57805583382167 39.09450498997422, -94.57805583382168 39.09450498997422, -94.57805583382168 39.09450498997423, -94.57805583382168 39.10124989270216, -94.57805583382168 39.10124989270216, -94.57805583382167 39.10124989270216, -94.57228406072282 39.10124989270216, -94.57228406072281 39.10124989270216, -94.57228406072281 39.10124989270216, -94.57228406072281 39.09675329088354, -94.57228406072281 39.09675329088353, -94.57228406072282 39.09675329088353, -94.57516994727223 39.09675329088353, -94.57516994727223 39.09450498997423, -94.57516994727223 39.09450498997422, -94.57516994727224 39.09450498997422, -94.57805583382167 39.09450498997422))"
21,"POLYGON ((-94.58094172037109 39.10349819361145, -94.5809417203711 39.10349819361145, -94.5809417203711 39.10349819361146, -94.5809417203711 39.10574649452077, -94.58382760692051 39.10574649452077, -94.58382760692052 39.10574649452077, -94.58382760692052 39.10574649452077, -94.58382760692052 39.10799479543009, -94.58382760692052 39.10799479543009, -94.58382760692051 39.10799479543009, -94.57516994727224 39.10799479543009, -94.57516994727223 39.10799479543009, -94.57516994727223 39.10799479543009, -94.57516994727223 39.10349819361146, -94.57516994727223 39.10349819361145, -94.57516994727224 39.10349819361145, -94.58094172037109 39.10349819361145))"
22,"POLYGON ((-94.58382760692051 39.11024309633938, -94.58382760692052 39.11024309633938, -94.58382760692052 39.11024309633939, -94.58382760692052 39.1124913972487, -94.58382760692052 39.11249139724871, -94.58382760692051 39.11249139724871, -94.5809417203711 39.11249139724871, -94.5809417203711 39.114739698158, -94.5809417203711 39.11473969815801, -94.58094172037109 39.11473969815801, -94.57805583382167 39.11473969815801, -94.57805583382165 39.11473969815801, -94.57805583382165 39.114739698158, -94.57805583382165 39.11249139724871, -94.57516994727224 39.11249139724871, -94.57516994727223 39.11249139724871, -94.57516994727223 39.1124913972487, -94.57516994727223 39.11024309633939, -94.57516994727223 39.11024309633938, -94.57516994727224 39.11024309633938, -94.58382760692051 39.11024309633938))"
23,"POLYGON ((-94.59248526656877 39.08326348542769, -94.59248526656879 39.08326348542769, -94.59248526656879 39.08326348542769, -94.59248526656879 39.09000838815562, -94.59248526656879 39.09000838815563, -94.59248526656877 39.09000838815563, -94.58959938001935 39.09000838815563, -94.58959938001934 39.09000838815563, -94.58959938001934 39.09000838815562, -94.58959938001934 39.08326348542769, -94.58959938001934 39.08326348542769, -94.58959938001935 39.08326348542769, -94.59248526656877 39.08326348542769))"
24,"POLYGON ((-94.58671349346993 39.03829746724153, -94.58671349346994 39.03829746724153, -94.58671349346994 39.03829746724153, -94.58671349346994 39.04279406906015, -94.58671349346994 39.04279406906016, -94.58671349346993 39.04279406906016, -94.58382760692052 39.04279406906016, -94.58382760692052 39.04504236996947, -94.58382760692052 39.04504236996947, -94.58382760692051 39.04504236996947, -94.58094172037109 39.04504236996947, -94.58094172037107 39.04504236996947, -94.58094172037107 39.04504236996947, -94.58094172037107 39.04279406906016, -94.57805583382167 39.04279406906016, -94.57805583382165 39.04279406906016, -94.57805583382165 39.04279406906015, -94.57805583382165 39.04054576815084, -94.57805583382165 39.04054576815083, -94.57805583382167 39.04054576815083, -94.58094172037107 39.04054576815083, -94.58094172037107 39.03829746724153, -94.58094172037107 39.03829746724153, -94.58094172037109 39.03829746724153, -94.58671349346993 39.03829746724153))"
25,"POLYGON ((-94.57516994727224 39.0877600872463, -94.57516994727226 39.0877600872463, -94.57516994727226 39.08776008724631, -94.57516994727226 39.09450498997424, -94.57516994727226 39.09450498997425, -94.57516994727224 39.09450498997425, -94.57228406072282 39.09450498997425, -94.57228406072281 39.09450498997425, -94.57228406072281 39.09450498997424, -94.57228406072281 39.09225668906493, -94.5693981741734 39.09225668906493, -94.56939817417339 39.09225668906493, -94.56939817417339 39.09225668906493, -94.56939817417339 39.09000838815561, -94.56939817417339 39.0900083881556, -94.5693981741734 39.0900083881556, -94.57228406072281 39.0900083881556, -94.57228406072281 39.08776008724631, -94.57228406072281 39.0877600872463, -94.57228406072282 39.0877600872463, -94.57516994727224 39.0877600872463))"
26,"POLYGON ((-94.56362640107456 39.0877600872463, -94.56362640107457 39.0877600872463, -94.56362640107457 39.08776008724631, -94.56362640107457 39.0900083881556, -94.56651228762398 39.0900083881556, -94.56651228762399 39.0900083881556, -94.56651228762399 39.09000838815561, -94.56651228762399 39.09225668906493, -94.56651228762399 39.09225668906493, -94.56651228762398 39.09225668906493, -94.55785462797571 39.09225668906493, -94.5578546279757 39.09225668906493, -94.5578546279757 39.09225668906493, -94.5578546279757 39.09000838815561, -94.5578546279757 39.0900083881556, -94.55785462797571 39.0900083881556, -94.56074051452512 39.0900083881556, -94.56074051452512 39.08776008724631, -94.56074051452512 39.0877600872463, -94.56074051452514 39.0877600872463, -94.56362640107456 39.0877600872463))"
27,"POLYGON ((-94.60114292621704 39.04279406906014, -94.60114292621705 39.04279406906014, -94.60114292621705 39.04279406906015, -94.60114292621705 39.04504236996947, -94.60114292621705 39.04504236996947, -94.60114292621704 39.04504236996947, -94.59825703966763 39.04504236996947, -94.59825703966763 39.04729067087877, -94.59825703966763 39.04729067087877, -94.59825703966762 39.04729067087877, -94.59248526656877 39.04729067087877, -94.59248526656876 39.04729067087877, -94.59248526656876 39.04729067087877, -94.59248526656876 39.04279406906015, -94.59248526656876 39.04279406906014, -94.59248526656877 39.04279406906014, -94.60114292621704 39.04279406906014))"
28,"POLYGON ((-94.58382760692051 39.0877600872463, -94.58382760692052 39.0877600872463, -94.58382760692052 39.08776008724631, -94.58382760692052 39.09000838815562, -94.58382760692052 39.09000838815563, -94.58382760692051 39.09000838815563, -94.57516994727224 39.09000838815563, -94.57516994727223 39.09000838815563, -94.57516994727223 39.09000838815562, -94.57516994727223 39.08776008724631, -94.57516994727223 39.0877600872463, -94.57516994727224 39.0877600872463, -94.58382760692051 39.0877600872463))"
29,"POLYGON ((-94.59537115311819 39.07876688360907, -94.59537115311821 39.07876688360907, -94.59537115311821 39.07876688360908, -94.59537115311821 39.08101518451837, -94.59825703966762 39.08101518451837, -94.59825703966763 39.08101518451837, -94.59825703966763 39.08101518451838, -94.59825703966763 39.08326348542769, -94.59825703966763 39.0832634854277, -94.59825703966762 39.0832634854277, -94.58959938001935 39.0832634854277, -94.58959938001934 39.0832634854277, -94.58959938001934 39.08326348542769, -94.58959938001934 39.08101518451838, -94.58959938001934 39.08101518451837, -94.58959938001935 39.08101518451837, -94.59248526656876 39.08101518451837, -94.59248526656876 39.07876688360908, -94.59248526656876 39.07876688360907, -94.59248526656877 39.07876688360907, -94.59537115311819 39.07876688360907))"
30,"POLYGON ((-94.59825703966762 39.03604916633221, -94.59825703966763 39.03604916633221, -94.59825703966763 39.03604916633222, -94.59825703966763 39.03829746724153, -94.60114292621704 39.03829746724153, -94.60114292621705 39.03829746724153, -94.60114292621705 39.03829746724153, -94.60114292621705 39.04279406906015, -94.60114292621705 39.04279406906016, -94.60114292621704 39.04279406906016, -94.59537115311819 39.04279406906016, -94.59537115311818 39.04279406906016, -94.59537115311818 39.04279406906015, -94.59537115311818 39.03604916633222, -94.59537115311818 39.03604916633221, -94.59537115311819 39.03604916633221, -94.59825703966762 39.03604916633221))"
