,0
10,"POLYGON ((-93.27679870940671 44.95223441575434, -93.27838537298861 44.95223441575434, -93.27838537298861 44.953358566209, -93.27838537298861 44.95448271666365, -93.27997203657048 44.95448271666365, -93.28155870015239 44.95448271666365, -93.28155870015239 44.95560686711831, -93.28155870015239 44.95673101757296, -93.27997203657048 44.95673101757296, -93.27838537298861 44.95673101757296, -93.27838537298859 44.95673101757296, -93.27679870940671 44.95673101757296, -93.27521204582482 44.95673101757296, -93.27521204582482 44.95560686711831, -93.27521204582482 44.95448271666366, -93.27521204582482 44.95448271666365, -93.27521204582482 44.953358566209, -93.27521204582482 44.95223441575434, -93.27679870940671 44.95223441575434))"
11,"POLYGON ((-93.27679870940671 44.96122761939159, -93.27838537298861 44.96122761939159, -93.27838537298861 44.96235176984624, -93.27838537298861 44.96347592030089, -93.27997203657048 44.96347592030089, -93.28155870015239 44.96347592030089, -93.28155870015239 44.96460007075555, -93.28155870015239 44.96572422121021, -93.27997203657048 44.96572422121021, -93.27838537298861 44.96572422121021, -93.27838537298859 44.96572422121021, -93.27679870940671 44.96572422121021, -93.27521204582482 44.96572422121021, -93.27521204582482 44.96460007075555, -93.27521204582482 44.9634759203009, -93.27521204582482 44.96347592030089, -93.27521204582482 44.96235176984624, -93.27521204582482 44.96122761939159, -93.27679870940671 44.96122761939159))"
12,"POLYGON ((-93.27997203657048 44.96572422121021, -93.28155870015239 44.96572422121021, -93.28155870015239 44.96684837166487, -93.28155870015239 44.96797252211952, -93.27997203657048 44.96797252211952, -93.27838537298859 44.96797252211952, -93.27838537298859 44.96684837166487, -93.27838537298859 44.96572422121021, -93.27997203657048 44.96572422121021))"
13,"POLYGON ((-93.27997203657048 44.96797252211952, -93.28155870015239 44.96797252211952, -93.28155870015239 44.96909667257417, -93.28155870015239 44.97022082302883, -93.28155870015239 44.97134497348349, -93.28155870015239 44.97246912393815, -93.27997203657048 44.97246912393815, -93.27838537298859 44.97246912393815, -93.27838537298859 44.97134497348349, -93.27838537298859 44.97022082302883, -93.27838537298859 44.96909667257417, -93.27838537298859 44.96797252211952, -93.27997203657048 44.96797252211952))"
14,"POLYGON ((-93.27997203657048 44.97471742484746, -93.28155870015239 44.97471742484746, -93.28155870015239 44.97584157530211, -93.28155870015239 44.97696572575677, -93.27997203657048 44.97696572575677, -93.27838537298859 44.97696572575677, -93.27838537298859 44.97584157530211, -93.27838537298859 44.97471742484746, -93.27997203657048 44.97471742484746))"
15,"POLYGON ((-93.27679870940671 44.97696572575676, -93.27838537298859 44.97696572575676, -93.27838537298861 44.97696572575676, -93.27997203657048 44.97696572575676, -93.28155870015239 44.97696572575676, -93.28155870015239 44.97808987621142, -93.28155870015239 44.97921402666608, -93.27997203657048 44.97921402666608, -93.27838537298861 44.97921402666608, -93.27838537298859 44.97921402666608, -93.27679870940671 44.97921402666608, -93.27521204582482 44.97921402666608, -93.27521204582482 44.97808987621142, -93.27521204582482 44.97696572575676, -93.27679870940671 44.97696572575676))"
16,"POLYGON ((-93.27679870940671 44.97921402666608, -93.27838537298859 44.97921402666608, -93.27838537298861 44.97921402666608, -93.27997203657048 44.97921402666608, -93.28155870015239 44.97921402666608, -93.28155870015239 44.98033817712074, -93.28155870015239 44.98146232757539, -93.27997203657048 44.98146232757539, -93.27838537298861 44.98146232757539, -93.27838537298859 44.98146232757539, -93.27679870940671 44.98146232757539, -93.27521204582482 44.98146232757539, -93.27521204582482 44.98033817712074, -93.27521204582482 44.97921402666608, -93.27679870940671 44.97921402666608))"
17,"POLYGON ((-93.27997203657048 44.98595892939401, -93.28155870015239 44.98595892939401, -93.28155870015239 44.98708307984867, -93.28155870015239 44.98820723030332, -93.27997203657048 44.98820723030332, -93.27838537298859 44.98820723030332, -93.27838537298859 44.98708307984867, -93.27838537298859 44.98595892939401, -93.27997203657048 44.98595892939401))"
18,"POLYGON ((-93.27679870940671 44.96572422121021, -93.27838537298861 44.96572422121021, -93.27838537298861 44.96684837166487, -93.27838537298861 44.96797252211952, -93.27679870940671 44.96797252211952, -93.27521204582482 44.96797252211952, -93.27521204582482 44.96684837166487, -93.27521204582482 44.96572422121021, -93.27679870940671 44.96572422121021))"
19,"POLYGON ((-93.27679870940671 44.96797252211952, -93.27838537298861 44.96797252211952, -93.27838537298861 44.96909667257417, -93.27838537298861 44.97022082302883, -93.27679870940671 44.97022082302883, -93.27521204582482 44.97022082302883, -93.27521204582482 44.96909667257417, -93.27521204582482 44.96797252211952, -93.27679870940671 44.96797252211952))"
20,"POLYGON ((-93.2736253822429 44.98146232757539, -93.2752120458248 44.98146232757539, -93.2752120458248 44.98258647803004, -93.2752120458248 44.9837106284847, -93.2736253822429 44.9837106284847, -93.27203871866101 44.9837106284847, -93.27203871866101 44.98258647803004, -93.27203871866101 44.98146232757539, -93.2736253822429 44.98146232757539))"
21,"POLYGON ((-93.2736253822429 44.98820723030332, -93.2752120458248 44.98820723030332, -93.2752120458248 44.98933138075798, -93.2752120458248 44.99045553121263, -93.2752120458248 44.99045553121264, -93.2752120458248 44.99157968166729, -93.2752120458248 44.99270383212195, -93.2736253822429 44.99270383212195, -93.27203871866101 44.99270383212195, -93.27203871866101 44.99157968166729, -93.27203871866101 44.99045553121264, -93.27045205507912 44.99045553121264, -93.26886539149723 44.99045553121264, -93.26886539149723 44.98933138075798, -93.26886539149723 44.98820723030332, -93.27045205507912 44.98820723030332, -93.27203871866101 44.98820723030332, -93.27203871866102 44.98820723030332, -93.2736253822429 44.98820723030332))"
22,"POLYGON ((-93.26727872791531 44.96572422121021, -93.26886539149722 44.96572422121021, -93.26886539149722 44.96684837166487, -93.26886539149722 44.96797252211952, -93.26886539149722 44.96797252211952, -93.26886539149722 44.96909667257417, -93.26886539149722 44.97022082302883, -93.26727872791531 44.97022082302883, -93.26569206433344 44.97022082302883, -93.26569206433342 44.97022082302883, -93.26410540075153 44.97022082302883, -93.26251873716964 44.97022082302883, -93.26251873716964 44.96909667257417, -93.26251873716964 44.96797252211952, -93.26410540075153 44.96797252211952, -93.26569206433342 44.96797252211952, -93.26569206433342 44.96684837166487, -93.26569206433342 44.96572422121021, -93.26727872791531 44.96572422121021))"
23,"POLYGON ((-93.27045205507912 44.97022082302883, -93.27203871866102 44.97022082302883, -93.27203871866102 44.97134497348349, -93.27203871866102 44.97246912393814, -93.27203871866102 44.97246912393815, -93.27203871866102 44.9735932743928, -93.27203871866102 44.97471742484746, -93.27045205507912 44.97471742484746, -93.26886539149723 44.97471742484746, -93.26886539149723 44.9735932743928, -93.26886539149723 44.97246912393815, -93.26886539149723 44.97246912393814, -93.26886539149723 44.97134497348349, -93.26886539149723 44.97022082302883, -93.27045205507912 44.97022082302883))"
24,"POLYGON ((-93.26410540075153 44.97022082302883, -93.26569206433342 44.97022082302883, -93.26569206433344 44.97022082302883, -93.26727872791531 44.97022082302883, -93.26886539149722 44.97022082302883, -93.26886539149722 44.97134497348349, -93.26886539149722 44.97246912393815, -93.26727872791531 44.97246912393815, -93.26569206433344 44.97246912393815, -93.26569206433342 44.97246912393815, -93.26410540075153 44.97246912393815, -93.26251873716964 44.97246912393815, -93.26251873716964 44.97134497348349, -93.26251873716964 44.97022082302883, -93.26410540075153 44.97022082302883))"
25,"POLYGON ((-93.26727872791531 44.97246912393814, -93.26886539149722 44.97246912393814, -93.26886539149722 44.9735932743928, -93.26886539149722 44.97471742484746, -93.26886539149722 44.97584157530211, -93.26886539149722 44.97696572575677, -93.26727872791531 44.97696572575677, -93.26569206433342 44.97696572575677, -93.26569206433342 44.97584157530211, -93.26569206433342 44.97471742484746, -93.26569206433342 44.9735932743928, -93.26569206433342 44.97246912393814, -93.26727872791531 44.97246912393814))"
