,0
10,"POLYGON ((-93.32281195328171 44.97696572575676, -93.32281195328173 44.97696572575676, -93.32281195328173 44.97696572575676, -93.32281195328173 44.98146232757539, -93.32281195328173 44.9814623275754, -93.32281195328171 44.9814623275754, -93.31963862611792 44.9814623275754, -93.31963862611791 44.9814623275754, -93.31646529895411 44.9814623275754, -93.3164652989541 44.9814623275754, -93.3164652989541 44.98146232757539, -93.3164652989541 44.97696572575676, -93.3164652989541 44.97696572575676, -93.31646529895411 44.97696572575676, -93.31963862611791 44.97696572575676, -93.31963862611792 44.97696572575676, -93.32281195328171 44.97696572575676))"
11,"POLYGON ((-93.32281195328171 44.99045553121262, -93.32281195328173 44.99045553121262, -93.32281195328173 44.99045553121263, -93.32281195328173 44.99495213303126, -93.32281195328173 44.99495213303127, -93.32281195328171 44.99495213303127, -93.31963862611792 44.99495213303127, -93.31963862611791 44.99495213303127, -93.31646529895411 44.99495213303127, -93.3164652989541 44.99495213303127, -93.3164652989541 44.99495213303126, -93.3164652989541 44.99045553121263, -93.3164652989541 44.99045553121262, -93.31646529895411 44.99045553121262, -93.31963862611791 44.99045553121262, -93.31963862611792 44.99045553121262, -93.32281195328171 44.99045553121262))"
12,"POLYGON ((-93.32281195328171 45.00844193848712, -93.32281195328173 45.00844193848712, -93.32281195328173 45.00844193848712, -93.32281195328173 45.01293854030575, -93.32281195328173 45.01293854030576, -93.32281195328171 45.01293854030576, -93.31963862611792 45.01293854030576, -93.31963862611791 45.01293854030576, -93.31646529895411 45.01293854030576, -93.3164652989541 45.01293854030576, -93.3164652989541 45.01293854030575, -93.3164652989541 45.00844193848712, -93.3164652989541 45.00844193848712, -93.31646529895411 45.00844193848712, -93.31963862611791 45.00844193848712, -93.31963862611792 45.00844193848712, -93.32281195328171 45.00844193848712))"
13,"POLYGON ((-93.32281195328171 45.01743514212436, -93.32281195328173 45.01743514212436, -93.32281195328173 45.01743514212437, -93.32281195328173 45.021931743943, -93.32281195328173 45.02193174394301, -93.32281195328171 45.02193174394301, -93.31963862611792 45.02193174394301, -93.31963862611791 45.02193174394301, -93.31646529895411 45.02193174394301, -93.3164652989541 45.02193174394301, -93.3164652989541 45.021931743943, -93.3164652989541 45.01743514212437, -93.3164652989541 45.01743514212436, -93.31646529895411 45.01743514212436, -93.31963862611791 45.01743514212436, -93.31963862611792 45.01743514212436, -93.32281195328171 45.01743514212436))"
14,"POLYGON ((-93.32281195328171 45.02193174394299, -93.32281195328173 45.02193174394299, -93.32281195328173 45.02193174394299, -93.32281195328173 45.02642834576162, -93.32281195328173 45.02642834576163, -93.32281195328171 45.02642834576163, -93.31963862611792 45.02642834576163, -93.31963862611791 45.02642834576163, -93.31646529895411 45.02642834576163, -93.3164652989541 45.02642834576163, -93.3164652989541 45.02642834576162, -93.3164652989541 45.02193174394299, -93.3164652989541 45.02193174394299, -93.31646529895411 45.02193174394299, -93.31963862611791 45.02193174394299, -93.31963862611792 45.02193174394299, -93.32281195328171 45.02193174394299))"
15,"POLYGON ((-93.31646529895413 44.92300650393328, -93.31646529895414 44.92300650393328, -93.31646529895414 44.92300650393329, -93.31646529895414 44.92750310575192, -93.31646529895414 44.92750310575192, -93.31646529895413 44.92750310575192, -93.31329197179033 44.92750310575192, -93.31329197179032 44.92750310575192, -93.31011864462653 44.92750310575192, -93.31011864462651 44.92750310575192, -93.31011864462651 44.92750310575192, -93.31011864462651 44.92300650393329, -93.31011864462651 44.92300650393328, -93.31011864462653 44.92300650393328, -93.31329197179032 44.92300650393328, -93.31329197179033 44.92300650393328, -93.31646529895413 44.92300650393328))"
16,"POLYGON ((-93.31646529895413 44.9275031057519, -93.31646529895414 44.9275031057519, -93.31646529895414 44.92750310575191, -93.31646529895414 44.93199970757054, -93.31646529895414 44.93199970757055, -93.31646529895413 44.93199970757055, -93.31329197179033 44.93199970757055, -93.31329197179032 44.93199970757055, -93.31011864462653 44.93199970757055, -93.31011864462651 44.93199970757055, -93.31011864462651 44.93199970757054, -93.31011864462651 44.92750310575191, -93.31011864462651 44.9275031057519, -93.31011864462653 44.9275031057519, -93.31329197179032 44.9275031057519, -93.31329197179033 44.9275031057519, -93.31646529895413 44.9275031057519))"
17,"POLYGON ((-93.31646529895413 44.93199970757053, -93.31646529895414 44.93199970757053, -93.31646529895414 44.93199970757053, -93.31646529895414 44.93649630938916, -93.31646529895414 44.93649630938917, -93.31646529895413 44.93649630938917, -93.31329197179033 44.93649630938917, -93.31329197179032 44.93649630938917, -93.31011864462653 44.93649630938917, -93.31011864462651 44.93649630938917, -93.31011864462651 44.93649630938916, -93.31011864462651 44.93199970757053, -93.31011864462651 44.93199970757053, -93.31011864462653 44.93199970757053, -93.31329197179032 44.93199970757053, -93.31329197179033 44.93199970757053, -93.31646529895413 44.93199970757053))"
18,"POLYGON ((-93.31646529895413 44.94548951302639, -93.31646529895414 44.94548951302639, -93.31646529895414 44.9454895130264, -93.31646529895414 44.94998611484503, -93.31646529895414 44.94998611484504, -93.31646529895413 44.94998611484504, -93.31329197179033 44.94998611484504, -93.31329197179032 44.94998611484504, -93.31011864462653 44.94998611484504, -93.31011864462651 44.94998611484504, -93.31011864462651 44.94998611484503, -93.31011864462651 44.9454895130264, -93.31011864462651 44.94548951302639, -93.31011864462653 44.94548951302639, -93.31329197179032 44.94548951302639, -93.31329197179033 44.94548951302639, -93.31646529895413 44.94548951302639))"
19,"POLYGON ((-93.31646529895413 44.94998611484502, -93.31646529895414 44.94998611484502, -93.31646529895414 44.94998611484503, -93.31646529895414 44.95448271666366, -93.31646529895414 44.95448271666366, -93.31646529895413 44.95448271666366, -93.31329197179033 44.95448271666366, -93.31329197179032 44.95448271666366, -93.31011864462653 44.95448271666366, -93.31011864462651 44.95448271666366, -93.31011864462651 44.95448271666366, -93.31011864462651 44.94998611484503, -93.31011864462651 44.94998611484502, -93.31011864462653 44.94998611484502, -93.31329197179032 44.94998611484502, -93.31329197179033 44.94998611484502, -93.31646529895413 44.94998611484502))"
